trait_BG,token_id,trait_Torso,trait_Color,trait_Power Unit,trait_Face,trait_Apex,trait_Right Sensor,trait_Quantum Core,trait_Sense Emulator,trait_Left Sensor,trait_Hands,trait_AUX,trait_Special Edition,rarity_score
Green Gradient,998,Tracksuit,Pulsar White,Extended Range,Echelon-3,Transmission,-1,Patrician,Core,Core,Coffee,Patrician,-1,495.2228440390092
Grey Gradient,5221,Core,Echelon Grey,Core,Centurion,Emoji,-1,Core,Kouwei,-1,Betting Slips,ETH,-1,493.5698846269638
Blue Gradient,5686,Tracksuit,34 Tauri,Core,Field Agent,Centurion,Cat,Ongo,Inhaler,Kouwei,Cards,Ally,-1,491.03070780398946
Orange Gradient,3356,TUX,Wrath,Kouwei,Core,Ongo,Core,Patrician,Centurion,Core,Blunt,Bypass,-1,489.1188130407663
Green Gradient,3896,TUX,Cotton Candy,EMP Shields,Recon,Industrial Sensor,Centurion,Centurion,Sticker,Core,Blunt,-1,-1,488.11626589073865
Purple Gradient,6459,Puff Jacket,Wrath,Core,Robo Face,-1,Acoustic Array,Ongo,-1,Centurion,-1,Ally,-1,486.60419971298415
Grey Day,3566,PBJ,Pulsar White,Centurion,VRT,Centurion,Core,Ongo,Inhaler,-1,Scheming,Kouwei,-1,485.8437604573229
Pink Gradient,1330,Graphic Tee,Navy,Centurion,Vandalized,Trinity,-1,Centurion,Offender,APS,-1,Pride,-1,485.7850434389826
Grey Day,38,Core,Pulsar White,Kouwei,VRT,Centurion,APS,Core,Ongo,Kouwei,Ante,Bypass,-1,483.11909614711817
Grey Day,5637,PBJ,Wrath,Core,VRT,Echelon-3,-1,Core,Offender,Core,Ante,-1,-1,482.2381662546505
Pink Gradient,2821,Kimono,Nova Blue,Small Cell,Core,Transmission,Acoustic Array,Core,Inhaler,Kouwei,-1,Vogu,-1,481.1292713506974
Green Gradient,45,Soldier,Neptune,Small Cell,VRT,Centurion,Acoustic Array,Core,Kouwei,APS,-1,Trans,-1,480.4524922513509
Orange Gradient,6781,Monk,Wrath,Core,Field Agent,Transmission,-1,Runtime Meter,Offender,-1,Blunt,-1,-1,480.09849729129155
Ethan S. Brewerton,7717,Centurion,Snake,Core,Core,Emoji,Patrician,Runtime Meter,Kouwei,Rabbit,Zen,-1,-1,480.0750287066655
Pink Gradient,6565,Puff Jacket,Nebula Red,EMP Shields,Tri-Focal ACS,Industrial Sensor,-1,Core,Offender,Infrared,Blunt,-1,-1,478.2769434807375
Black Graphic,541,Centurion,Pulsar White,Core,VRT,Ongo,APS,Core,Ongo,Core,Ante,-1,-1,475.38145942095434
Tropical Virtual,4897,Tracksuit,Grape,Kouwei,Recon,Emoji,Acoustic Array,Kouwei,Inhaler,Centurion,-1,Ally,-1,474.41393099424545
Blue Gradient,6270,Kimono,Snake,Patrician,Core,Industrial Sensor,Kouwei Vibes,Core,Inhaler,APS,Ponies,Kouwei,-1,474.06609640452524
Grey Day,2075,Tactical,Titan,Kouwei,VRT,Garsi,Core,Patrician,Inhaler,Cat,Scheming,-1,-1,474.035137849885
Orange Gradient,1249,Tactical,Echelon Grey,Kouwei,VRT,Centurion,Rabbit,Kouwei,Ongo,APS,Scheming,-1,-1,473.51585747416124
Orange Gradient,6562,Centurion,Grape,Core,Field Agent,Strobe,Kouwei,Kouwei,Inhaler,-1,Scheming,-1,-1,472.6079268128834
Black Graphic,4651,BDVXP,Neptune,Kouwei,Centurion,Ongo,Core,Core,Patrician,Infrared,-1,Pride,-1,472.50219254841574
Grey Day,7497,Kouwei,Nebula Red,Core,Kouwei,Industrial Sensor,APS,Patrician,Kouwei,Centurion,Cigarette,Formula-V,-1,472.26319701073913
Grey Day,299,Super Puff,34 Tauri,Kouwei,VRT,Garsi,APS,Core,Inhaler,Kouwei,Ponies,-1,-1,471.1048509051972
Green Gradient,3749,Tourist,Snake,Kouwei,Centurion,Ongo,Acoustic Array,Centurion,Offender,Core,-1,Pride,-1,470.95719191547005
Pink Gradient,986,Centurion,Wrath,EMP Shields,Centurion,Garsi,Acoustic Array,Core,Kouwei,Core,Scheming,-1,-1,470.8692751041187
Black Graphic,4369,Leather Jacket,Wrath,Centurion,EMO-LED,-1,Rabbit,Centurion,Inhaler,Rabbit,Ante,-1,-1,470.5271639538918
Orange Gradient,2222,Leather Jacket,Snake,Core,Echelon-3,Industrial Sensor,Ongo,Patrician,Inhaler,Core,Ante,-1,-1,470.37432414399143
Blue Gradient,6155,Tracksuit,Neptune,Ongo,Field Agent,Industrial Sensor,Core,Core,Sticker,Core,Scheming,-1,-1,469.859543590373
Black Graphic,7052,Graphic Tee,Grape,Kouwei,VRT,Emoji,Cat,Ongo,Inhaler,Core,Ante,-1,-1,469.85013556278557
Glypsie,1943,Wind Breaker,Wrath,Core,Centurion,Emoji,Core,Runtime Meter,-1,-1,Coffee,-1,-1,469.66620385680807
Black Graphic,2307,Kouwei,Neptune,Small Cell,Field Agent,Industrial Sensor,Acoustic Array,Ongo,V-THC,-1,-1,Vogu,-1,469.3022370927494
Orange Gradient,426,Leather Jacket,Navy,Ongo,Tri-Focal ACS,Industrial Sensor,Core,Kouwei,Offender,-1,Blunt,-1,-1,468.53714824223266
Orange Gradient,6260,Tracksuit,Snake,Extended Range,VRT,Ongo,Core,Kouwei,Inhaler,Kouwei,Red Cup,ETH,-1,468.39143791864717
Pink Gradient,7772,Tactical,Snake,Kouwei,Grigori,Garsi,Core,Ongo,Centurion,Core,Ponies,-1,-1,468.135304409272
Karen Jerzyk,5146,Tourist,Nova Blue,EMP Shields,Echelon-3,Centurion,-1,Patrician,Ongo,Core,Cards,-1,-1,467.8891003059157
Blue Gradient,2548,Tactical,Wrath,Extended Range,EMO-LED,-1,-1,Runtime Meter,Kouwei,-1,Ante,Bypass,-1,466.5465736457147
Purple Gradient,4385,Core,Titan,Centurion,Governor,Core,-1,Ongo,-1,APS,Ponies,-1,-1,466.51195466823816
Pink Gradient,5168,Monk,Pulsar White,Kouwei,Centurion,Centurion,Acoustic Array,Ongo,-1,Infrared,Blunt,Faction,-1,465.3790877781926
Grey Day,2605,Leather Jacket,Neptune,Centurion,Kouwei,Emoji,Kouwei,Ongo,-1,Ongo,Scheming,-1,-1,465.365959343123
Blue Gradient,3944,Leather Jacket,Cotton Candy,Ongo,Echelon-3,Emoji,APS,Patrician,Ongo,Infrared,-1,Pride,-1,464.74398467241247
Blue Gradient,4569,BDVXP,Neptune,Extended Range,Centurion,Industrial Sensor,-1,Runtime Meter,Inhaler,Core,Scheming,-1,-1,464.36363823062584
Pink Gradient,7077,PBJ,Echelon Grey,Centurion,Core,Kouwei,Kouwei Vibes,Ongo,Sticker,Kouwei,Joint,-1,-1,464.24873695762403
Blue Gradient,7070,Wind Breaker,Snake,Core,Kouwei,Centurion,Kouwei,Core,Ongo,Kouwei,Cigarette,Formula-V,-1,462.806642318191
Purple Gradient,3181,Core,Cotton Candy,Patrician,Echelon-3,Kouwei,-1,Core,-1,Infrared,-1,Vogu,-1,462.4587799852431
Pink Gradient,2071,Monk,Grape,Centurion,Grigori,Garsi,Rabbit,Core,Ongo,Infrared,Coffee,-1,-1,462.33786191043174
Purple Gradient,4029,Tourist,Pulsar White,EMP Shields,VRT,Emoji,-1,Runtime Meter,Inhaler,Kouwei,-1,Pride,-1,462.27307376259273
Orange Gradient,818,Core,Nebula Red,Core,VRT,Industrial Sensor,Acoustic Array,Kouwei,Offender,APS,Scheming,-1,-1,462.0993261067311
Blue Gradient,4354,Core,Pulsar White,Kouwei,Field Agent,Centurion,Core,Core,Patrician,Infrared,Blunt,-1,-1,461.47501122639653
Green Gradient,7747,Core,34 Tauri,Core,Grigori,Industrial Sensor,Cat,Centurion,Inhaler,-1,Cigarette,-1,-1,460.5962106114631
Tropical Virtual,3742,Ongo,Neptune,Centurion,Robo Face,Range Finder,Kouwei,Patrician,-1,APS,-1,-1,-1,459.7547186283398
Grey Day,3852,Core,Neptune,Centurion,Centurion,Core,Ongo,Ongo,Sticker,Kouwei,Blunt,-1,-1,459.5106626312055
Blue Gradient,6333,Wind Breaker,Navy,Core,Tri-Focal ACS,Centurion,Core,Runtime Meter,Inhaler,Centurion,-1,Vogu,-1,457.95341211501614
Pink Gradient,2995,Tracksuit,34 Tauri,Kouwei,Centurion,Ongo,Kouwei Vibes,Kouwei,-1,Core,-1,Pride,-1,457.54436865019045
Purple Gradient,7559,Centurion,Cotton Candy,Core,Core,Centurion,Kouwei,Ongo,Inhaler,-1,Ante,-1,-1,455.7886666291664
Grey Gradient,4020,Sergeant,Cotton Candy,Core,Recon,Emoji,Core,Patrician,Ongo,Core,-1,Trans,-1,454.870953376966
Glypsie,5237,Core,Echelon Grey,Small Cell,Recon,Strobe,Rabbit,Core,Inhaler,-1,Double Fisting,-1,-1,453.49835236824845
Purple Gradient,5723,PBJ,Neptune,Centurion,VRT,Garsi,Cat,Runtime Meter,Core,Kouwei,Ponies,-1,-1,451.4431355181426
Grey Gradient,1073,Kouwei,Titan,Core,VRT,Emoji,-1,Kouwei,Kouwei,Infrared,Scheming,-1,-1,450.9081965571119
Blue Gradient,984,Patrician,Titan,Kouwei,VRT,Range Finder,Acoustic Array,Centurion,Sticker,-1,-1,Vogu,-1,450.2806362993057
Grey Gradient,7203,Kouwei,Neptune,EMP Shields,Centurion,Industrial Sensor,-1,Core,Kouwei,Kouwei,Ante,-1,-1,449.8259898315532
Grey Day,5963,Tactical,Navy,Patrician,ISO,Garsi,Core,Patrician,Ongo,Kouwei,Beverage, USB V.0,-1,449.46177540695584
Tropical Virtual,2219,Graphic Tee,Nova Blue,Kouwei,Jack,Garsi,-1,Runtime Meter,-1,Kouwei,-1,Centurion,-1,447.94060549297217
Orange Gradient,966,Leather Jacket,Grape,Core,Courier,Centurion,Kouwei,Centurion,Offender,-1,-1,Vogu,-1,447.68864133524926
Ethan S. Brewerton,7615,Core,Grape,EMP Shields,Recon,Kouwei,Centurion,Kouwei,Core,Cat,-1,Centurion,-1,447.6337857073124
Green Gradient,6673,Kimono,Navy,Patrician,Centurion,Centurion,Cat,Core,-1,APS,Blunt,-1,-1,447.03373863700995
Purple Gradient,7229,Core,Grape,Patrician,Grigori,Echelon-3,Core,Centurion,Inhaler,-1,Betting Slips,-1,-1,446.9198720877671
Purple Gradient,7169,Leather Jacket,Wrath,Patrician,Recon,Ongo,Patrician,Kouwei,Ongo,Kouwei,Double Fisting,Patrician,-1,446.8854720859665
Orange Gradient,5139,Puff Jacket,Wrath,Kouwei,Core,Core,Centurion,Core,Inhaler,Core,Cigarette,Kouwei,-1,446.6124533346962
Green Gradient,6043,Puff Jacket,Snake,Core,Core,Core,-1,Core,Ongo,APS,-1,Pride,-1,444.84277119986746
Pink Gradient,434,Core,Nebula Red,Core,Recon,Strobe,Ongo,Kouwei,Ongo,Core,-1,Pride,-1,444.03392845053475
Grey Gradient,970,Kouwei,Titan,Small Cell,Core,Garsi,-1,Centurion,Patrician,-1,-1,Trans,-1,443.69151280111487
Black Graphic,4431,Sergeant,Echelon Grey,Kouwei,VRT,-1,Core,Core,-1,Infrared,-1,Pride,-1,443.69096539712336
Purple Gradient,7573,Centurion,Pulsar White,EMP Shields,Core,Transmission,Kouwei,Ongo,Inhaler,Centurion,Betting Slips,-1,-1,443.67537312761607
Green Gradient,5907,Ongo,Echelon Grey,Kouwei,Recon,Strobe,-1,Kouwei,Inhaler,-1,Cigarette,Patrician,-1,443.2061914134756
Blue Gradient,4798,Leather Jacket,Grape,Centurion,VRT,Echelon-3,Core,Core,Sticker,Cat,-1,Pride,-1,442.19877502815655
Blue Gradient,5340,Puff Jacket,Titan,Kouwei,Core,Industrial Sensor,Acoustic Array,Core,Kouwei,-1,Gadget,Ally,-1,441.7926943323971
Orange Gradient,7303,Graphic Tee,Pulsar White,Small Cell,EMO-LED,-1,Core,Patrician,Sticker,Cat,-1,Pride,-1,440.50891141747496
Black Graphic,2370,Monk,Pulsar White,Patrician,EMO-LED,-1,Ongo,Patrician,Ongo,Rabbit,-1,Trans,-1,439.4754138649231
Blue Gradient,4015,Tracksuit,Navy,Kouwei,Courier,Industrial Sensor,-1,Ongo,V-THC,Infrared,-1, USB V.0,-1,439.4721760299153
Grey Day,3045,Core,Nova Blue,Centurion,Tri-Focal ACS,Emoji,Core,Kouwei,Inhaler,Kouwei,Beverage,Ally,-1,439.20717663800644
Purple Gradient,6154,Kouwei,Neptune,Ongo,Field Agent,Industrial Sensor,Core,Core,Kouwei,Cat,-1,Pride,-1,438.6935216869188
Ethan S. Brewerton,4679,Leather Jacket,Nebula Red,Patrician,VRT,Patrician,-1,Kouwei,Kouwei,APS,Zen,Patrician,-1,437.12201606120834
Glypsie,1211,Leather Jacket,Wrath,Ongo,Tri-Focal ACS,Ongo,Core,Patrician,Core,Infrared,Beverage,Kouwei,-1,435.9832239320081
Grey Day,4524,Wind Breaker,Neptune,Core,VRT,Patrician,APS,Centurion,-1,-1,-1,Trans,-1,434.7573727290627
Green Gradient,4185,BDVXP,Snake,Kouwei,Kouwei,Emoji,Core,Kouwei,Inhaler,Core,Blunt,Bypass,-1,434.4003687615991
Grey Day,2712,Centurion,Navy,Centurion,Ongo,Industrial Sensor,Core,Ongo,Core,-1,Blunt,-1,-1,434.3405566618202
Pink Gradient,3974,Core,Cotton Candy,Kouwei,EMO-LED,-1,-1,Centurion,Offender,APS,Blunt,Kouwei,-1,433.97351404765857
Pink Gradient,1391,Graphic Tee,34 Tauri,Kouwei,Kouwei,Industrial Sensor,Core,Centurion,Sticker,Kouwei,Joint,Core,-1,433.48428211703504
Grey Day,1205,Ongo,Navy,Centurion,VRT,Strobe,Ongo,Patrician,Inhaler,Ongo,-1,Trans,-1,433.4497578660437
Grey Day,2957,BDVXP,Navy,Kouwei,Core,Centurion,-1,Centurion,Kouwei,APS,Blunt,Bypass,-1,433.18905950027215
Green Gradient,3511,Puff Jacket,Titan,Centurion,Grigori,Industrial Sensor,-1,Runtime Meter,Extended Release,APS,Coffee,Bypass,-1,432.9960155869255
Green Gradient,7736,Tracksuit,Nebula Red,Centurion,Echelon-3,Strobe,Core,Core,Inhaler,APS,-1,Pride,-1,432.42937153488833
Ethan S. Brewerton,5044,Puff Jacket,Nova Blue,Kouwei,Field Agent,Trinity,Core,Centurion,Kouwei,Cat,Zen,-1,-1,432.34472892668043
Black Graphic,4363,Puff Jacket,Snake,Kouwei,Recon,Transmission,Acoustic Array,Core,Ongo,-1,Stonks,Bypass,-1,432.06052432377237
Pink Gradient,5483,Graphic Tee,Titan,Centurion,Field Agent,-1,-1,Core,-1,Rabbit,Blunt,Kouwei,-1,432.0011809837846
Green Gradient,264,Wind Breaker,Cotton Candy,Core,ISO,Industrial Sensor,Cat,Kouwei,Extended Release,Core,Ponies,-1,-1,431.82625548672524
Purple Gradient,6651,BDVXP,Pulsar White,Kouwei,Centurion,Emoji,Core,Patrician,Ongo,Centurion,-1,Pride,-1,431.80113937969196
Purple Gradient,3816,Monk,Pulsar White,Kouwei,Centurion,Industrial Sensor,APS,Patrician,Kouwei,Core,-1,Pride,-1,431.1690520905996
Pink Gradient,893,Leather Jacket,Titan,Core,Centurion,Centurion,-1,Core,Inhaler,APS,Ante,-1,-1,430.7774756392926
Pink Gradient,4962,Graphic Tee,Grape,Ongo,Recon,Kouwei,-1,Core,Offender,Core,Ponies,-1,-1,430.0184802103713
Purple Gradient,973,Graphic Tee,34 Tauri,Patrician,VRT,-1,Ongo,Core,-1,-1,Scheming,-1,-1,429.05385753081373
Purple Gradient,316,Tactical,Neptune,Kouwei,Ongo,Industrial Sensor,-1,Core,Centurion,APS,Blunt,-1,-1,426.75381541269314
Black Graphic,1807,Kouwei,Navy,Centurion,VRT,Ongo,Acoustic Array,Ongo,Centurion,Infrared,-1,Trans,-1,426.3002920606675
Pink Gradient,1696,PBJ,Echelon Grey,Small Cell,Grigori,-1,Ongo,Kouwei,Inhaler,Kouwei,Joint,-1,-1,424.4688545333091
Ethan S. Brewerton,6329,Core,34 Tauri,Core,Vandalized,Industrial Sensor,Core,Kouwei,Offender,Rabbit,-1,ETH,-1,424.1750806642534
Grey Gradient,682,Ongo,Navy,Small Cell,Ongo,Strobe,APS,Core,Patrician,Infrared,Red Cup,-1,-1,424.13975375339623
Green Gradient,1139,Kimono,Echelon Grey,Patrician,VRT,Ongo,Core,Runtime Meter,Sticker,-1,-1,Vogu,-1,423.5178992879162
Pink Gradient,5103,Tactical,Navy,EMP Shields,VRT,Emoji,APS,Kouwei,-1,Kouwei,Blunt,-1,-1,423.24646218750945
Green Gradient,4807,PBJ,Neptune,Extended Range,Kouwei,Emoji,Kouwei,Runtime Meter,Inhaler,Kouwei,-1,Trans,-1,422.39478249660795
Blue Gradient,5761,Tactical,Nebula Red,Core,Recon,Industrial Sensor,Core,Centurion,Sticker,APS,-1,Pride,-1,422.2065288043035
Pink Gradient,4213,Puff Jacket,Snake,Centurion,Graffiti,-1,Core,Runtime Meter,Sticker,Kouwei,-1,Vogu,-1,422.14764682991483
Grey Gradient,4241,Core,34 Tauri,Centurion,Grigori,-1,Rabbit,Kouwei,Inhaler,Infrared,Coffee,-1,-1,422.10640840704116
Grey Day,814,Monk,Pulsar White,Patrician,Centurion,Industrial Sensor,Core,Core,Ongo,Rabbit,-1,Trans,-1,421.26720389419637
